godzina,zdarzenia
0,130
1,82
2,81
3,82
4,104
5,176
6,402
7,648
8,776
9,787
10,913
11,974
12,1005
13,1000
14,1113
15,1217
16,1115
17,951
18,720
19,630
20,511
21,369
22,282
23,175
