godzina,zdarzenia
0,190
1,89
2,69
3,73
4,95
5,244
6,469
7,608
8,644
9,748
10,938
11,1012
12,1077
13,1098
14,1125
15,1194
16,1178
17,983
18,819
19,713
20,537
21,414
22,288
23,209
