godzina,zdarzenia
0,155
1,115
2,100
3,95
4,106
5,215
6,590
7,781
8,865
9,871
10,1026
11,1143
12,1122
13,1276
14,1417
15,1469
16,1285
17,1093
18,935
19,777
20,634
21,513
22,398
23,270
