godzina,zdarzenia
0,631
1,515
2,342
3,355
4,367
5,885
6,1852
7,3485
8,4309
9,4129
10,4290
11,4532
12,4798
13,4778
14,5180
15,5491
16,5962
17,5534
18,4547
19,3581
20,2766
21,2036
22,1479
23,954
