godzina,zdarzenia
0,122
1,116
2,83
3,55
4,111
5,196
6,488
7,762
8,786
9,954
10,1235
11,1326
12,1408
13,1499
14,1631
15,1652
16,1558
17,1369
18,1116
19,938
20,616
21,507
22,406
23,222
