godzina,zdarzenia
0,191
1,132
2,82
3,107
4,125
5,216
6,558
7,990
8,1032
9,1000
10,1319
11,1305
12,1452
13,1452
14,1594
15,1697
16,1632
17,1298
18,1063
19,870
20,640
21,516
22,415
23,310
