godzina,zdarzenia
0,446
1,326
2,266
3,239
4,314
5,1041
6,1640
7,2151
8,2363
9,2541
10,2972
11,3194
12,3403
13,3597
14,4139
15,3941
16,3989
17,3415
18,2792
19,2159
20,1734
21,1421
22,1067
23,683
