LP.;ID;Nazwa;Rzeka;SzerokoúÊ geograficzna;D≥ugoúÊ geograficzna;WysokoúÊ n.p.m.
336;250160520;L•DEK-ZDR”J;Bia≥a Lπdecka;50 20 43;16 53 06;461
337;251200240;STANOWISKA;Czarna;51 02 31;20 22 17;305
338;252230060;NAREWKA;Narewka;52 52 18;23 43 41;143
339;249200380;SZAFLARY;Bia≥y Dunajec;49 25 31;20 01 35;638
340;249210140;DUKLA;Jasio≥ka;49 34 01;21 40 50;385
341;249220190;SAKOWCZYK;San;49 18 53;22 26 51;561
342;350160520;K£ODZKO;Nysa K≥odzka;50 26 13;16 36 51;356
343;253220120;OSOWIEC;Biebrza;53 28 57;22 38 45;110
344;353140200;åWINOUJåCIE;Ba≥tyk;53 55 24;14 14 32;6
345;250210260;S DZISZ”W MA£OPOLSKI;Brzeünica;50 04 41;21 42 13;210
346;251180240;JASTRZYGOWICE;Prosna;51 00 04;18 27 25;200
347;352200375;WARSZAWA-OK CIE;Wis≥a;52 09 46;20 57 40;106
348;253210220;DOBRYLAS;Pisa;53 17 47;21 49 38;104
349;352230399;TERESPOL;Bug;52 04 43;23 37 19;133
350;250190210;PILICA;Pilica;50 27 35;19 38 49;351
351;250210050;åWI TY KRZYØ;Pokrzywianka;50 51 34;21 03 05;575
352;250230070;TOMASZ”W LUBELSKI;So≥okija;50 27 29;23 23 56;270
353;251150340;GRYF”W åL•SKI;Kwisa;51 01 36;15 24 34;312
354;251180160;OSJAK”W;Warta;51 16 59;18 47 01;160
355;249180170;B£ATNIA;Brennica;49 44 49;18 56 33;882
356;249190150;STR”ØA;Raba;49 47 47;19 55 03;330
357;249190530;PILSKO;So≥a;49 32 28;19 19 06;1 278
358;249200120;ROZDZIELE;Raba;49 47 07;20 24 58;627
359;250150170;JAKUSZYCE;Kamienna;50 49 23;15 26 31;855
360;250160310;MIEROSZ”W;åcinawka;50 39 45;16 10 33;493
361;250180030;STARE OLESNO;Stobrawa;50 54 17;18 21 50;224
362;251200170;CHE£STY;Czarna;51 12 57;20 08 55;220
363;252210020;CZARNOWO;Orz;52 52 55;21 32 06;94
364;249200230;GRYB”W;Bia≥a;49 37 09;20 57 12;335
365;249200470;KRYNICA;Poprad;49 24 28;20 57 39;582
366;249220180;KOMA—CZA;Os≥awa;49 20 21;22 03 48;478
367;250150060;R BISZ”W;Skitnica;50 57 06;15 26 56;420
368;253210180;PTAKI;Pisa;53 23 26;21 47 41;112
369;250200220;SIELEC;Nidzica;50 19 07;20 25 14;200
370;250210180;CHORZEL”W;Wis≥a;50 20 53;21 26 39;170
371;250230130;FUTORY;LubaczÛwka;50 11 48;23 02 47;239
372;249190080;WADOWICE;Skawa;49 52 55;19 31 07;259
373;249190460;SPYTKOWICE G”RNE;Skawa;49 33 52;19 45 42;639
374;250150150;SZKLARSKA POR BA;KamieÒczyk;50 50 04;15 31 45;648
375;250160410;BARDO;Nysa K≥odzka;50 30 33;16 44 39;321
376;252180210;K£ODAWA;Rgilewka;52 15 03;18 54 57;120
377;249200440;JAWORZYNA KRYNICKA;Poprad;49 25 04;20 53 43;1 110
378;249210150;IWONICZ-ZDR”J;Wis≥ok;49 34 02;21 47 18;425
379;249220140;SZCZAWNE;Os≥awa;49 23 56;22 08 49;395
380;250150050;PILCHOWICE;BÛbr;50 57 46;15 38 24;251
381;254200080;LIDZBARK WARMI—SKI;£yna;54 08 09;20 35 10;90
382;350180540;RACIB”RZ;Odra;50 03 40;18 11 27;206
383;351150400;ZIELONA G”RA;Odra;51 55 48;15 31 29;192
384;253220070;BIEBRZA;E≥k;53 39 02;22 34 42;115
385;351220495;LUBLIN-RADAWIEC;Bystrzyca;51 13 00;22 23 35;238
386;250200050;RYKOSZYN;Nida;50 51 56;20 24 42;274
387;250210120;KLIMONT”W;Koprzywianka;50 39 12;21 27 01;203
388;250230160;CIESZAN”W;Tanew;50 14 01;23 07 05;217
389;251150350;LUBOMIERZ;Oldza;51 00 55;15 30 10;365
390;251180150;MIRK”W;Prosna;51 18 37;18 08 47;155
391;249190420;ØABNICA;Øabniczanka;49 33 43;19 11 14;585
392;249190310;PEWEL MA£A;Koszarawa;49 39 39;19 18 21;425
393;249190290;LIPOWA;So≥a;49 39 58;19 04 36;530
394;249190380;KAMESZNICA;Bystra;49 34 12;19 03 52;470
395;249190750;SOBL”WKA;So≥a;49 26 15;19 08 54;702
396;249190270;OSIELEC;Skawa;49 40 44;19 44 20;439
397;249190470;RABA WYØNA;Raba;49 33 53;19 52 54;536
398;249190230;LUBIE—;LubieÒka;49 43 15;19 58 12;429
399;249200080;£APAN”W;Stradomka;49 52 31;20 17 01;265
400;249190560;JAB£ONKA;Czarna Orawa;49 28 20;19 41 45;614
401;249210130;ZBOISKA;Jasio≥ka;49 34 39;21 41 45;320
402;249220160;TELEåNICA OSZWAROWA;San;49 22 49;22 31 52;449
403;249220130;BRZEGI DOLNE;Strwiπø;49 26 36;22 37 16;438
404;252180060;PAKOå∆;NoteÊ;52 47 58;18 05 33;75
405;253140110;GRYFINO;Odra;53 15 25;14 29 04;10
406;252150070;DREZDENKO;NoteÊ;52 51 17;15 50 28;31
