LP.;ID;Nazwa;Rzeka;SzerokoúÊ geograficzna;D≥ugoúÊ geograficzna;WysokoúÊ n.p.m.
607;250160980;WOLIB”RZ;50 35 26;16 34 40;518
608;250160970;åNIEØNIK;50 12 31;16 49 57;1 218
609;249190970;SIDZINA;49 37 10;19 43 37;546
610;249180270;ISTEBNA-M£ODA G”RA;49 34 50;18 51 43;785
611;252210330;RZ•åNIK W£OåCIA—SKI;52 50 59;21 43 14;120
612;250160580;SPALONA;50 16 36;16 32 18;815
613;249180630;KICZYCE;49 49 18;18 47 59;283
614;250150550;SZRENICA;50 47 28;15 30 43;1327
615;250160610;BOLES£AW”W;50 15 17;16 53 27;602
616;250180750;W•SICE;50 59 06;18 01 46;169
617;252230290;BOLESTY;52 44 12;23 05 27;156
618;252230280;JAGODNIKI;52 41 50;23 29 21;156
619;250190790;CHRZAN”W;50 06 45;19 22 36;251
620;250180640;ZABRZE;50 21 54;18 45 13;270
621;250190840;ROKITNO SZLACHECKIE;50 26 07;19 25 52;343
622;249210370;ROPICA G”RNA;49 35 46;21 13 53;356
623;249190980;SUCHA BESKIDZKA;49 45 14;19 36 21;324
624;250150560;MA£A KOPA;50 44 37;15 43 34;1341
625;253190360;NAJMOWO;Osa;53 18 30;19 19 36;104
626;254230040;PODWOJPONIE;Szeszupa;54 18 00;23 07 10;207
627;250180650;P£AWNIOWICE;K≥odnica;50 22 35;18 28 56;218
628;250180560;ØORY;Ruda;50 03 13;18 41 47;245
629;250210280;WOLA RANIØOWSKA;£Íg;50 18 04;21 59 32;195
630;249201060;TYLMANOWA;Ochotnica;49 31 05;20 23 15;404
631;254170210;BORUCINO;Radunia;54 15 13;17 59 30;
632;249180620;KO—CZYCE MA£E;PiotrÛwka;49 51 08;18 38 20;242
633;250180110;DOBRODZIE—;Myúlinka;50 43 45;18 25 32;227
634;249210420;SMEREKOWIEC;Ropa;49 25 01;21 12 13;560
635;251160190;LUBIN;Zimnica;51 24 48;16 12 23;138
636;253220370;SAWINO;Narew;53 10 08;22 51 53
637;250140020;SIENIAWKA;Nysa £uøycka;50 53 38;14 50 08;234
638;250160920;PI£AWA G”RNA;Pi≥awa;50 41 22;16 43 57;295
639;249180590;RUPTAWA;Olza;49 56 12;18 35 22;230
640;250180760;STRZELCE OPOLSKIE;Ma≥a Panew;50 31 04;18 18 40;229
641;250190880;SU£OSZOWA;Prπdnik (21374);50 15 30;19 44 24;442
642;251150130;£OZY;Kwisa (166);51 29 22;15 22 01;138
643;249190960;BUDZ”W;Skawa (2134);49 46 26;19 39 34;342
644;250210330;KLIMONT”W;Koprzywianka (2194);50 39 09;21 27 49;210
645;253170320;LIPA;NoteÊ (188);53 03 02;17 15 27;62
646;253170340;IWNO;Dop≥yw z £ankowic (188528);53 01 36;17 25 05;111
647;251160420;PYSZ•CA;Odra (1);51 15 23;16 40 47;110
648;250190810;LUBSZA;Ma≥a Panew (118);50 36 35;19 00 15;336
649;250180740;SIERAKOWICE;Odra (1);50 15 56;18 25 53;203
650;249191030;KOPYT”WKA;Wis≥a (2);49 56 01;19 38 10;309
651;250180720;MODZUR”W;Odra (1);50 09 38;18 08 20;244
652;250180530;KIETRZ;Odra (1);50 04 40;18 01 42;220
653;252140150;MASZEWO;Odra (1);52 04 11;14 55 08;68
654;254180070;T PCZ;£eba (476);54 30 27;18 02 20;178
655;250160010;STRZEGOM;Strzegomka (1348);50 57 50;16 22 35;211
656;254160140;K£ANINO;ParsÍta (44);54 01 39;16 28 70;114
657;253170350;CZYCZKOWY;Wda (294);53 51 39;17 44 00;137
658;250160060;SOB”TKA;Czarna Woda (1346);50 54 08;16 45 34l;156
659;251150450;PIE—SK;Nysa £uøycka (174);51 15 36;15 02 25;164
660;254160130;CIECHOLUB;Wieprza (46);54 10 22;16 52 28;115
661;251170430;OSTRZESZ”W II;DπbrÛwka (1412);51 26 04;17 54 56;186
662;251150440;SIECIEBORZYCE;BÛbr (16);51 39 56;15 32 13;150
663;251150030;NOWOGR”D BOBRZA—SKI;BÛbr (16);51 47 58;15 15 11;102
664;252140210;BOCZ”W;Rzepia (1786);52 19 01;14 56 19;79
665;250160960;STARY GIERA£T”W;Bia≥a Lπdecka (1216);50 18 36;16 55 03;535
666;250161070;JOD£”W;Nysa K≥odzka (12);50 10 22;16 46 15;828
667;251190240;WIERZBOWA;Ner (1832);51 59 12;19 04 46;111
668;250170790;WOJNOWICE;Troja (11526);50 07 01;17 53 10;283
669;250160940;NOWA WIEå;Nowinka (121146);50 11 52;16 44 42;555
670;251150430;BIA£K”W;Lubsza (1748);51 46 37;51 46 37;85
671;250170810;BRANICE;Opawa (112);50 03 04;17 46 31;290
672;249190990;JORDAN”W;Skawa (2134);49 38 35;19 50 30;534
673;254170280;STRUSZEWO;S≥upia (472);54 10 44;17 21 26;131










