godzina,zdarzenia
0,381
1,240
2,221
3,202
4,274
5,578
6,1070
7,1769
8,1945
9,2093
10,2292
11,2421
12,2442
13,2594
14,3005
15,3213
16,3241
17,2886
18,2488
19,1802
20,1392
21,1079
22,917
23,562
