godzina,zdarzenia
0,363
1,292
2,225
3,217
4,253
5,595
6,1076
7,1847
8,1940
9,2029
10,2372
11,2440
12,2557
13,2645
14,3096
15,3163
16,3222
17,2781
18,2334
19,1932
20,1480
21,1188
22,973
23,602
