godzina,zdarzenia
0,361
1,287
2,216
3,203
4,250
5,567
6,1060
7,1905
8,2155
9,2173
10,2584
11,2692
12,2950
13,2880
14,3523
15,3502
16,3455
17,3008
18,2590
19,1856
20,1403
21,1122
22,921
23,611
