godzina,zdarzenia
0,210
1,140
2,139
3,105
4,134
5,341
6,716
7,1077
8,1144
9,1211
10,1399
11,1603
12,1596
13,1698
14,1949
15,1951
16,1968
17,1635
18,1285
19,1140
20,833
21,647
22,478
23,278
