godzina,zdarzenia
0,225
1,154
2,145
3,145
4,178
5,271
6,530
7,1016
8,1156
9,1184
10,1269
11,1448
12,1472
13,1426
14,1615
15,1716
16,1726
17,1422
18,1252
19,980
20,829
21,618
22,511
23,339
