godzina,zdarzenia
0,131
1,84
2,80
3,70
4,98
5,170
6,356
7,691
8,818
9,781
10,957
11,994
12,982
13,947
14,1120
15,1250
16,1210
17,894
18,710
19,584
20,487
21,333
22,273
23,159
