godzina,zdarzenia
0,125
1,90
2,79
3,69
4,90
5,170
6,379
7,512
8,622
9,706
10,750
11,828
12,855
13,900
14,984
15,937
16,945
17,798
18,741
19,600
20,478
21,359
22,274
23,173
