godzina,zdarzenia
0,356
1,242
2,213
3,175
4,211
5,536
6,1045
7,1582
8,1745
9,1703
10,2110
11,2362
12,2425
13,2526
14,2927
15,2979
16,2764
17,2361
18,2045
19,1745
20,1248
21,1023
22,758
23,490
