godzina,zdarzenia
0,329
1,258
2,157
3,178
4,249
5,561
6,795
7,1121
8,1300
9,1448
10,1549
11,1765
12,1764
13,1969
14,2118
15,2136
16,2309
17,2040
18,1833
19,1509
20,1144
21,953
22,754
23,496
