godzina,zdarzenia
0,499
1,348
2,297
3,244
4,385
5,1067
6,1761
7,2438
8,2795
9,2904
10,3372
11,3533
12,3675
13,3956
14,4682
15,4629
16,4502
17,3735
18,3092
19,2455
20,1996
21,1641
22,1185
23,751
