godzina,zdarzenia
0,123
1,94
2,88
3,53
4,79
5,224
6,480
7,688
8,759
9,764
10,948
11,1002
12,989
13,996
14,1119
15,1150
16,1046
17,855
18,763
19,598
20,491
21,383
22,272
23,183
