godzina,zdarzenia
0,298
1,220
2,175
3,152
4,175
5,436
6,918
7,1277
8,1515
9,1612
10,1841
11,2047
12,2096
13,2073
14,2247
15,2280
16,2292
17,2052
18,1850
19,1375
20,1133
21,889
22,634
23,436
