godzina,zdarzenia
0,338
1,192
2,179
3,164
4,187
5,379
6,850
7,1266
8,1534
9,1572
10,1793
11,1858
12,1904
13,2014
14,2220
15,2218
16,2135
17,1991
18,1698
19,1415
20,1061
21,878
22,704
23,442
