godzina,zdarzenia
0,229
1,152
2,130
3,112
4,149
5,465
6,851
7,1459
8,1540
9,1557
10,1794
11,1999
12,1933
13,2087
14,2409
15,2412
16,2444
17,1988
18,1691
19,1303
20,981
21,809
22,591
23,321
