godzina,zdarzenia
0,109
1,110
2,67
3,69
4,80
5,163
6,286
7,405
8,443
9,530
10,623
11,775
12,774
13,796
14,910
15,860
16,846
17,770
18,602
19,466
20,401
21,328
22,238
23,176
