godzina,zdarzenia
0,308
1,179
2,145
3,137
4,152
5,374
6,887
7,1378
8,1527
9,1560
10,1787
11,2072
12,2133
13,2132
14,2413
15,2653
16,2614
17,2210
18,1864
19,1477
20,1081
21,849
22,588
23,393
