godzina,zdarzenia
0,84
1,83
2,57
3,60
4,52
5,141
6,303
7,529
8,546
9,570
10,708
11,744
12,717
13,782
14,890
15,950
16,839
17,725
18,633
19,502
20,321
21,297
22,227
23,139
