godzina,zdarzenia
0,170
1,111
2,86
3,100
4,116
5,235
6,507
7,837
8,808
9,970
10,1092
11,1193
12,1238
13,1282
14,1352
15,1549
16,1350
17,1092
18,925
19,769
20,595
21,454
22,381
23,229
