godzina,zdarzenia
0,212
1,127
2,108
3,107
4,141
5,253
6,477
7,799
8,846
9,888
10,1082
11,1121
12,1136
13,1242
14,1356
15,1397
16,1395
17,1244
18,1081
19,891
20,691
21,539
22,415
23,299
