godzina,zdarzenia
0,191
1,135
2,97
3,80
4,107
5,199
6,556
7,1007
8,1027
9,1117
10,1441
11,1617
12,1697
13,1650
14,1786
15,1891
16,1802
17,1558
18,1312
19,1066
20,804
21,581
22,480
23,282
