godzina,zdarzenia
0,132
1,82
2,82
3,76
4,107
5,188
6,394
7,688
8,751
9,806
10,896
11,991
12,985
13,1045
14,1141
15,1212
16,1074
17,948
18,798
19,662
20,494
21,412
22,322
23,232
