godzina,zdarzenia
0,163
1,156
2,94
3,112
4,132
5,370
6,687
7,1068
8,1126
9,1169
10,1408
11,1577
12,1426
13,1538
14,1885
15,1890
16,1832
17,1502
18,1278
19,1006
20,766
21,557
22,453
23,257
