godzina,zdarzenia
0,222
1,154
2,131
3,116
4,127
5,381
6,801
7,1257
8,1418
9,1427
10,1649
11,1955
12,2051
13,2091
14,2221
15,2414
16,2411
17,1922
18,1630
19,1330
20,984
21,738
22,581
23,349
