godzina,zdarzenia
0,308
1,246
2,200
3,161
4,232
5,544
6,854
7,1324
8,1525
9,1531
10,1759
11,1790
12,1946
13,2080
14,2362
15,2377
16,2395
17,2094
18,1807
19,1462
20,1258
21,943
22,809
23,493
