godzina,zdarzenia
0,106
1,73
2,67
3,68
4,85
5,150
6,345
7,654
8,755
9,764
10,924
11,907
12,955
13,905
14,994
15,1145
16,1103
17,778
18,683
19,523
20,463
21,365
22,259
23,155
