godzina,zdarzenia
0,227
1,191
2,153
3,144
4,140
5,256
6,523
7,929
8,1127
9,1207
10,1212
11,1417
12,1460
13,1476
14,1565
15,1745
16,1658
17,1374
18,1223
19,1007
20,789
21,674
22,452
23,346
