godzina,zdarzenia
0,236
1,138
2,116
3,108
4,155
5,419
6,798
7,1279
8,1351
9,1379
10,1634
11,1882
12,1903
13,1918
14,2280
15,2344
16,2180
17,1688
18,1544
19,1177
20,866
21,749
22,533
23,305
