godzina,zdarzenia
0,359
1,288
2,240
3,202
4,272
5,675
6,1229
7,1783
8,1997
9,2046
10,2392
11,2645
12,2809
13,2929
14,3416
15,3443
16,3194
17,2847
18,2454
19,1955
20,1461
21,1155
22,897
23,617
