godzina,zdarzenia
0,353
1,263
2,191
3,171
4,221
5,613
6,1041
7,1566
8,1642
9,1865
10,2222
11,2490
12,2600
13,2755
14,3076
15,3092
16,2860
17,2622
18,2229
19,1751
20,1322
21,1036
22,837
23,528
