"Kod";"Nazwa";"Rodzaje pojazdów";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
2400000;"ŚLĄSKIE";"pojazdy samochodowe i ciągniki";"2018";3259835;"szt.";"";
2400000;"ŚLĄSKIE";"pojazdy samochodowe i ciągniki";"2019";3369337;"szt.";"";
2400000;"ŚLĄSKIE";"pojazdy samochodowe i ciągniki";"2020";3452023;"szt.";"";
2400000;"ŚLĄSKIE";"pojazdy samochodowe i ciągniki";"2021";3533336;"szt.";"";
2400000;"ŚLĄSKIE";"pojazdy samochodowe i ciągniki";"2022";3600107;"szt.";"";
2600000;"ŚWIĘTOKRZYSKIE";"pojazdy samochodowe i ciągniki";"2018";1010002;"szt.";"";
2600000;"ŚWIĘTOKRZYSKIE";"pojazdy samochodowe i ciągniki";"2019";1048628;"szt.";"";
2600000;"ŚWIĘTOKRZYSKIE";"pojazdy samochodowe i ciągniki";"2020";1078563;"szt.";"";
2600000;"ŚWIĘTOKRZYSKIE";"pojazdy samochodowe i ciągniki";"2021";1112055;"szt.";"";
2600000;"ŚWIĘTOKRZYSKIE";"pojazdy samochodowe i ciągniki";"2022";1135056;"szt.";"";
2800000;"WARMIŃSKO-MAZURSKIE";"pojazdy samochodowe i ciągniki";"2018";1030456;"szt.";"";
2800000;"WARMIŃSKO-MAZURSKIE";"pojazdy samochodowe i ciągniki";"2019";1071629;"szt.";"";
2800000;"WARMIŃSKO-MAZURSKIE";"pojazdy samochodowe i ciągniki";"2020";1106529;"szt.";"";
2800000;"WARMIŃSKO-MAZURSKIE";"pojazdy samochodowe i ciągniki";"2021";1142361;"szt.";"";
2800000;"WARMIŃSKO-MAZURSKIE";"pojazdy samochodowe i ciągniki";"2022";1168123;"szt.";"";
3000000;"WIELKOPOLSKIE";"pojazdy samochodowe i ciągniki";"2018";3115038;"szt.";"";
3000000;"WIELKOPOLSKIE";"pojazdy samochodowe i ciągniki";"2019";3228239;"szt.";"";
3000000;"WIELKOPOLSKIE";"pojazdy samochodowe i ciągniki";"2020";3327748;"szt.";"";
3000000;"WIELKOPOLSKIE";"pojazdy samochodowe i ciągniki";"2021";3427343;"szt.";"";
3000000;"WIELKOPOLSKIE";"pojazdy samochodowe i ciągniki";"2022";3511051;"szt.";"";
3200000;"ZACHODNIOPOMORSKIE";"pojazdy samochodowe i ciągniki";"2018";1271026;"szt.";"";
3200000;"ZACHODNIOPOMORSKIE";"pojazdy samochodowe i ciągniki";"2019";1318367;"szt.";"";
3200000;"ZACHODNIOPOMORSKIE";"pojazdy samochodowe i ciągniki";"2020";1357117;"szt.";"";
3200000;"ZACHODNIOPOMORSKIE";"pojazdy samochodowe i ciągniki";"2021";1396229;"szt.";"";
3200000;"ZACHODNIOPOMORSKIE";"pojazdy samochodowe i ciągniki";"2022";1426826;"szt.";"";
