godzina,zdarzenia
0,343
1,249
2,188
3,147
4,197
5,480
6,1019
7,1582
8,1827
9,1957
10,2173
11,2258
12,2355
13,2431
14,2705
15,2692
16,2691
17,2486
18,2090
19,1656
20,1251
21,924
22,717
23,455
