godzina,zdarzenia
0,710
1,504
2,349
3,321
4,431
5,899
6,1957
7,3641
8,4359
9,4136
10,4377
11,4634
12,4812
13,4857
14,5414
15,5526
16,6153
17,5418
18,4635
19,3605
20,2786
21,2209
22,1599
23,1028
