godzina,zdarzenia
0,124
1,82
2,82
3,77
4,90
5,161
6,324
7,504
8,612
9,640
10,737
11,772
12,784
13,750
14,867
15,924
16,921
17,750
18,620
19,504
20,422
21,321
22,231
23,156
