godzina,zdarzenia
0,95
1,85
2,58
3,49
4,86
5,177
6,279
7,429
8,440
9,507
10,593
11,641
12,669
13,689
14,741
15,757
16,693
17,611
18,471
19,416
20,294
21,251
22,235
23,139
