godzina,zdarzenia
0,166
1,108
2,93
3,70
4,96
5,200
6,516
7,875
8,1015
9,995
10,1242
11,1460
12,1596
13,1533
14,1649
15,1798
16,1665
17,1423
18,1171
19,932
20,654
21,526
22,400
23,218
