godzina,zdarzenia
0,464
1,353
2,262
3,242
4,327
5,925
6,1548
7,2345
8,2600
9,2574
10,2888
11,3077
12,3190
13,3496
14,4123
15,3933
16,3958
17,3229
18,2657
19,2164
20,1684
21,1383
22,1077
23,652
