godzina,zdarzenia
0,348
1,248
2,197
3,180
4,213
5,510
6,901
7,1398
8,1512
9,1543
10,1771
11,1965
12,2035
13,2035
14,2463
15,2598
16,2584
17,2225
18,1808
19,1465
20,1266
21,967
22,797
23,448
