godzina,zdarzenia
0,127
1,83
2,60
3,69
4,91
5,173
6,400
7,724
8,843
9,823
10,1040
11,1026
12,1041
13,1055
14,1087
15,1239
16,1209
17,947
18,729
19,579
20,446
21,400
22,287
23,176
