year,month,voivodeship,temperature,humidity,incidents
2021,1,mazowieckie,-1.4806451612903226,89.45161290322581,4830
2021,2,mazowieckie,-4.246428571428572,87.32142857142857,4922
2021,3,mazowieckie,1.1451612903225807,86.2258064516129,4717
2021,4,mazowieckie,6.15,78.06666666666666,4896
2021,5,mazowieckie,13.832258064516129,77.16129032258064,5902
2021,6,mazowieckie,23.596666666666668,69.4,6011
2021,7,mazowieckie,21.470967741935485,81.83870967741936,5699
2021,8,mazowieckie,17.774193548387096,84.64516129032258,5621
2021,9,mazowieckie,13.873333333333331,88.03333333333333,6247
2021,10,mazowieckie,5.270967741935484,90.2258064516129,6359
2021,11,mazowieckie,3.55,92.26666666666668,5844
2021,12,mazowieckie,-1.3548387096774193,91.4516129032258,6256
