godzina,zdarzenia
0,596
1,407
2,290
3,332
4,345
5,698
6,1443
7,2572
8,3180
9,2983
10,3474
11,3602
12,3919
13,3979
14,4193
15,4441
16,4933
17,4241
18,3597
19,2921
20,2258
21,1747
22,1364
23,873
