godzina,zdarzenia
0,152
1,83
2,91
3,85
4,94
5,189
6,327
7,551
8,577
9,648
10,771
11,876
12,878
13,928
14,996
15,1095
16,1057
17,848
18,727
19,523
20,448
21,343
22,258
23,186
