year,month,voivodeship,temperature,humidity
2018,01,małopolskie,-1.1496774193548387,89.85548387096775
2018,02,małopolskie,-2.1671428571428573,92.86642857142859
2018,03,małopolskie,-0.725483870967742,87.6441935483871
2018,04,małopolskie,10.383333333333333,72.17466666666665
2018,05,małopolskie,17.081612903225807,77.24967741935482
2018,06,małopolskie,21.103,83.94233333333334
2018,07,małopolskie,17.529677419354837,83.60354838709678
2018,08,małopolskie,16.904193548387095,85.10548387096775
2018,09,małopolskie,11.218333333333334,86.591
2018,10,małopolskie,7.087741935483871,81.73612903225806
2018,11,małopolskie,1.4506666666666668,87.16366666666666
2018,12,małopolskie,-0.8874193548387097,89.26870967741935
2019,01,małopolskie,-3.1820833333333334,87.63708333333334
2019,02,małopolskie,1.8435714285714284,77.26571428571428
2019,03,małopolskie,2.098064516129032,79.50193548387097
2019,04,małopolskie,9.336333333333332,78.15033333333334
2019,06,małopolskie,20.587,74.31766666666667
2019,07,małopolskie,17.246129032258064,75.01870967741935
2019,08,małopolskie,16.884347826086955,81.98260869565217
2019,09,małopolskie,10.683333333333334,84.31466666666667
2019,10,małopolskie,6.702,81.50133333333333
2019,11,małopolskie,3.392333333333333,84.88433333333334
2019,12,małopolskie,0.2838709677419355,76.98354838709677
2020,01,małopolskie,-1.4135483870967742,75.74
2020,02,małopolskie,1.196206896551724,78.68551724137932
2020,03,małopolskie,0.5274193548387096,74.6058064516129
2020,04,małopolskie,6.436000000000001,58.537666666666674
2020,05,małopolskie,8.994193548387097,77.70870967741936
2020,06,małopolskie,16.247666666666667,88.23566666666667
2020,07,małopolskie,17.447741935483872,80.71225806451612
2020,08,małopolskie,17.912580645161288,81.37903225806451
2020,09,małopolskie,11.796,87.55566666666667
2020,10,małopolskie,6.877741935483871,88.8825806451613
2020,11,małopolskie,1.8553333333333333,84.878
2020,12,małopolskie,-1.2003225806451614,89.13129032258065
2021,01,małopolskie,-1.9516129032258065,87.61483870967741
2021,02,małopolskie,-0.885,83.47642857142857
2021,03,małopolskie,-0.5387096774193547,84.17967741935485
2021,04,małopolskie,3.9896666666666665,79.83200000000001
2021,05,małopolskie,10.524838709677418,75.79548387096774
2021,06,małopolskie,18.307333333333336,74.792
2021,07,małopolskie,19.501612903225805,82.28967741935485
2021,08,małopolskie,14.404516129032258,88.75064516129032
2021,09,małopolskie,10.745666666666667,89.43533333333333
2021,10,małopolskie,4.718064516129032,81.31806451612904
2021,11,małopolskie,1.7326666666666668,87.73033333333333
2021,12,małopolskie,0.06193548387096768,88.20870967741936
