year,month,voivodeship,incidents
2022,03,wielkopolskie,2680
2022,04,wielkopolskie,2643
2022,05,wielkopolskie,2834
2022,06,wielkopolskie,2731
2022,07,wielkopolskie,2584
2022,08,wielkopolskie,2547
2022,09,wielkopolskie,2598
2022,10,wielkopolskie,2705
2022,11,wielkopolskie,2431
2022,12,wielkopolskie,2662
2022,01,zachodniopomorskie,1402
2022,02,zachodniopomorskie,1369
2022,03,zachodniopomorskie,1442
2022,04,zachodniopomorskie,1546
2022,05,zachodniopomorskie,1513
2022,06,zachodniopomorskie,1563
2022,07,zachodniopomorskie,1599
2022,08,zachodniopomorskie,1628
2022,09,zachodniopomorskie,1353
2022,10,zachodniopomorskie,1455
2022,11,zachodniopomorskie,1322
2022,12,zachodniopomorskie,1477
2022,01,łódzkie,2228
2022,02,łódzkie,2084
2022,03,łódzkie,2077
2022,04,łódzkie,2166
2022,05,łódzkie,2301
2022,06,łódzkie,2160
2022,07,łódzkie,2047
2022,08,łódzkie,1985
2022,09,łódzkie,2054
2022,10,łódzkie,2153
2022,11,łódzkie,1868
2022,12,łódzkie,2307
2022,01,śląskie,3974
2022,02,śląskie,3504
2022,03,śląskie,4201
2022,04,śląskie,4003
2022,05,śląskie,4378
2022,06,śląskie,4179
2022,07,śląskie,3920
2022,08,śląskie,3969
2022,09,śląskie,4053
2022,10,śląskie,4361
2022,11,śląskie,3873
2022,12,śląskie,4736
2022,01,świętokrzyskie,886
2022,02,świętokrzyskie,855
2022,03,świętokrzyskie,979
2022,04,świętokrzyskie,950
2022,05,świętokrzyskie,1058
2022,06,świętokrzyskie,949
2022,07,świętokrzyskie,977
2022,08,świętokrzyskie,971
2022,09,świętokrzyskie,873
2022,10,świętokrzyskie,972
2022,11,świętokrzyskie,841
2022,12,świętokrzyskie,1044
