godzina,zdarzenia
0,131
1,80
2,70
3,80
4,93
5,165
6,338
7,562
8,570
9,640
10,709
11,793
12,853
13,857
14,1008
15,1038
16,994
17,827
18,723
19,543
20,425
21,282
22,281
23,177
