godzina,zdarzenia
0,587
1,418
2,317
3,275
4,376
5,827
6,1659
7,2563
8,3014
9,2946
10,3549
11,3749
12,4190
13,4301
14,4538
15,4678
16,5293
17,4600
18,3934
19,3066
20,2573
21,2064
22,1480
23,870
