godzina,zdarzenia
0,620
1,455
2,345
3,270
4,393
5,829
6,1703
7,2914
8,3490
9,3403
10,3861
11,4235
12,4387
13,4673
14,5017
15,5275
16,5839
17,4901
18,4159
19,3260
20,2689
21,2149
22,1478
23,959
