godzina,zdarzenia
0,260
1,190
2,145
3,108
4,126
5,313
6,786
7,1329
8,1443
9,1524
10,1707
11,2048
12,2117
13,2064
14,2305
15,2432
16,2500
17,2187
18,1736
19,1305
20,997
21,779
22,636
23,348
