godzina,zdarzenia
0,98
1,75
2,64
3,37
4,60
5,121
6,336
7,566
8,553
9,656
10,749
11,855
12,861
13,862
14,908
15,999
16,942
17,794
18,636
19,522
20,391
21,298
22,244
23,121
