godzina,zdarzenia
0,291
1,243
2,188
3,172
4,222
5,525
6,797
7,1392
8,1667
9,1660
10,1834
11,1908
12,1919
13,2090
14,2358
15,2484
16,2702
17,2417
18,2021
19,1500
20,1162
21,981
22,760
23,460
